                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.94911,                0.51102,                0.80798,                0.90451,                0.67943,                0.76545,                0.49914,                0.88709,                 0.4838,                0.81264,             0.00014862,             0.00014862,             0.00014862
                     91,                0.87772,                0.48555,                0.80909,                0.88562,                0.66823,                0.75632,                0.49803,                  0.884,                0.48463,                0.81406,             0.00013625,             0.00013625,             0.00013625
                     92,                 0.8882,                0.48778,                0.80608,                0.89353,                0.66652,                 0.7698,                0.48968,                0.89296,                0.48002,                0.81385,             0.00012387,             0.00012387,             0.00012387
                     93,                0.86932,                0.48096,                0.80807,                0.86665,                0.69748,                0.76789,                0.49771,                0.88829,                0.47548,                0.81329,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.8498,                 0.4698,                0.81026,                0.84159,                0.71534,                 0.7662,                0.50017,                0.88534,                0.47427,                0.81267,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.85755,                0.47457,                0.80629,                0.78943,                0.73311,                0.76551,                0.50472,                0.88511,                0.47488,                0.81126,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.85636,                0.47332,                0.80981,                0.82245,                0.72188,                0.76854,                0.49693,                0.88639,                  0.475,                0.81163,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.86455,                0.47156,                0.80901,                0.81631,                0.72947,                0.76818,                0.49519,                0.88667,                0.47259,                0.81168,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.86088,                0.46832,                0.80534,                0.81617,                0.72554,                0.76772,                0.50914,                0.88182,                 0.4711,                0.81127,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.83815,                0.46734,                0.80465,                0.80555,                0.72315,                0.76381,                0.50345,                0.88187,                0.47316,                0.81215,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.83728,                0.45922,                0.80495,                0.85968,                0.75569,                0.78185,                0.50856,                0.87962,                0.46861,                0.81228,             2.4875e-05,             2.4875e-05,             2.4875e-05
